type,neighborhood,address,price,beds,baths,sqft,url
Co-op,South Harlem,230 West 123rd Street #4E,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/230-west-123-street-new_york/4e
Rental Unit,Astoria,11-05 30 Road #2,"$2,150",Studio,1 Bath,420,https://streeteasy.com/building/11_05-30-road-astoria/2
Rental Unit,Lenox Hill,414 East 73rd Street #4RE,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/414-east-73-street-new_york/4re
Rental Unit,South Harlem,3 East 115th Street #6C,"$2,344",1 Bed,1 Bath,600,https://streeteasy.com/building/3-east-115th-street-new_york/6c
Co-op,Forest Hills,99-44 67 Road #2E,"$2,000",1 Bed,1 Bath,700,https://streeteasy.com/building/99_44-67-road-forest_hills/2e
Condo,South Harlem,245 West 115th Street #19,"$2,350",1 Bed,1 Bath,400,https://streeteasy.com/building/245-west-115-street-new_york/19
Co-op,Turtle Bay,45 Tudor City Place #1116,"$2,350",Studio,1 Bath,300,https://streeteasy.com/building/45-tudor-city-place-new_york/1116
Rental Unit,Forest Hills,98-30 67th Avenue #1I,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/98_30-67-avenue-rego_park/1i
Rental Unit,Rego Park,98-21 65th Avenue #4C,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/98_21-65-avenue-rego_park/4c
Rental Unit,Astoria,31-26 28th Avenue #4F,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/31_26-28-avenue-astoria/4f
Co-op,Hamilton Heights,345 West 145th Street #3B3,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/3b3
